Recipe Name,All Ingredients,Key Ingredients,Outside order,Easy to carry?,Easy to cook?,Time to cook?,Diet Pref,Allergen,Tier,Season,Category,Macro Category,Base,Theme,Heavy Light,Dish Nationality,Cuisine,Temperature,Commonality,Excite Level,Equipment,,NEW FLAVOUR,NEW ETHNICITY,TASEER,SYMPTOMS,MED CON.,Consistency,PALEO?,DEF/TOX,BLD,Servings,Quantity per serving,Base,Theme,Carbs,Protein,Fat,Fiber,Energy,cal/serving,THERAPY,MAXIMUM QUANTITY,Min Quantity,RECIPE ID,Main/Mid,Is Measured In?,Wt.of Measured Amt.,Carbs/100gm,Protein/100gm,Fat/100gm,Fiber/100gm,Energy/100gm,Must have category,Good to have Category,Must have recipe,Good to have recipe,PRIORITY
No Bread Bread Pakoda,"200g besan (gram flour)
200g oats flour
Salt
 to taste
1 tsp cumin powder (jeera powder)
1 tsp carom seeds (ajwain)
1 tsp kitchen king masala
1 tbsp kasuri methi (dried fenugreek leaves)
1/2 tsp black pepper
1 chopped green chili
150g curd
1/2 cup chopped onion
1.5 tsp Eno
Water
 as needed to make a thick dough
Cooking spray","Besan - 200'g
Oats Flour - 200'g
Curd - 150'g
Onion - 0.25'cup",NO,Easy,Medium,Medium,VEGETARIAN,"Lactose, Gluten, Onion/Garlic",Both,Winter,Snack,,,,Heavy,India,North Indian,Neutral,2,3,"Gas stove / Cooktop, Basic fry pan/kadai",,Salty,Generic,Neutral Taseer,"Reduced appetite, constipation, bloating, acidity, Sleep disorders / insomnia, low in immunity , Acne, palpitation, Proteinurea , lethargy, Hairfall, Depression. weakness, low immunity, fatique, dizzness, hair fall , skin health , joint pain, bodyache.","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), Fatty Liver, Hepatitis A/B/C, Asthma, COPD, Sinusitis / allergic rhinitis, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO,"Calcium deficiency, Selenium Deficiency, Biotin deficiency, High Total cholesterol, Iron Deficiency, deficiency, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Vit B12 deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated","Breakfast, Pre Dinner",7,1 piece,Besan,"HP, HF",256.65,79.89,36.59,48.98,1675.47,239.35,"Low GI, Normal",2,1,22d0412b-5188-44ad-ad94-c6bb88085c60,MAIN,Numbers,110gm,33.3,10.4,4.8,6.4,217.6,,,,,Primary
Gobhi Stuffed Oats Roti,"Whole Wheat Flour - 1/4 cup
Oats Flour - 1/4 cup
Cauliflower - 1/3 cup
Hot Water - 1/4 cup or as required
Salt - 1/2 tsp or as per taste
(Optional) Carom Seeds (Ajwain) - 1/4 tsp
Cumin Powder - 1/4 tsp
(Optional) Black Pepper Powder - 1/4 tsp
(Optional) Green Chilli - 1
(Optional) Desi Ghee - 1 tsp","Whole Wheat Flour - 0.25'cup
Oats Flour - 0.25'cup
Cauliflower - 0.33'cup",NO,Easy,Medium ,Medium (30 minutes),"JAIN, VEGETARIAN","Cruciferous, Gluten, Lactose, Gluten, wheat",Both,All Season,Paratha,Breads,,,LIGHT,India,General,Neutral,1,2,"Gas stove / Cooktop, Rolling pin & board (chakla belan), Basic fry pan/kadai",,Salty,North Indian ,Neutral Taseer,"Bloating, acidity , onstipation, reduce appitite, Glucourea,  Headache, Lack of sleep, Trieadness, Palpitation , Frequent infection , weakness , trieadness, leethargy, joint pain , back pain, Dizzness, Cold Extremities, Headache, Angular Stomatitis, Koilonychia.","Type 2 Diabetes, Gestational Diabetes (portion-controlled), Prediabetic, High Blood Pressure (Hypertension), Fatty Liver, Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoporosis, Migraine, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs), post antibiotic phase.",Solid,NO," Folate deficiency,  Iodine deficiency,  Vit B12 deficiency,  High LDL/Low HDL, High Triglycerides,   Protein, Iron, Magnesium, Zinc, Phosphorus, B-complex vitamins (especially Vitamin B1),Vitamin C, Vitamin K, Vitamin A (beta-carotene) ","Lunch, Dinner",2,1 roti,Oats,HF,39.53,8.21,3.12,6.77,218.86,109.43,"Low GI, Normal",2,1,2336eb49-97bf-41f1-af54-452060fdd425,MAIN,Numbers,50gm,39.5,8.2,3.1,6.8,218.9,,,,Curd,Primary
Milk,Milk - 1 Glass (250 ml),Milk - 250'ml,YES,Easy,Easy,Low,"JAIN, VEGETARIAN",Lactose,Both,All Season,Flavoured Milk,Milk/tea/coffee,,,LIGHT,Both,General,Neutral,0,1,No equipment required,,Bland,Generic,Neutral Taseer,"Reduced appetite, constipation, bloating, acidity, Sleep disorders / insomnia, low in immunity , Acne, palpitation, Proteinurea , lethargy, Hairfall, Depression. weakness, low immunity, fatique, dizzness, hair fall , skin health , joint pain, bodyache.","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), Fatty Liver, Hepatitis A/B/C, Asthma, COPD, Sinusitis / allergic rhinitis, Vitiligo, Cardiovascular Diseases (CVDs)",Liquid,YES,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.",Breakfast,1,1 glass,NO BASE,All themes,12.5,8.5,2.5,0,105.5,105.50,"Low FODMAP, Low GI, DASH, Normal",2,1,90f06557-e521-444c-a015-420d903c52b0,MAIN,Glass,200ml,6.3,4.3,1.3,0.0,52.8,,Nuts,,,Primary
Taco Beans,"Rajma/Kidney beans - 50 g
Cabbage - 1/2 cup
Bell peppers - 1
Oats flour - 1 cup
Wheat flour - 1 cup
Onion - 1
Homemade tomato puree - 2 tsp
Green chili - 2
Salt -  as per taste
Homemade mint chutney - 2 tsp
Oregano - 1 tsp
Baking soda - 1/2 tsp
Black pepper - 1 tsp
Coriander - 1 tbsp","Rajma - 50'g
Oats Flour - 1'cup
Whole Wheat Flour - 1'cup
Capsicum - 0.5'cup
Onion - 0.25'cup
Cabbage - 1/2'cup",NO,Medium,Medium,Medium,"VEGAN , VEGETARIAN","Cruciferous, Gluten, Onion/Garlic",Metro,All Season,Heavy Salad,Salad,,,HEAVY,Both,Mexican,Neutral,1,3,"Gas stove / Cooktop, Basic fry pan/kadai",,Spicy,Mexican ,Neutral Taseer,"Reduced appetite, constipation, bloating, acidity, Sleep disorders / insomnia, low in immunity , Acne, palpitation, Proteinurea , lethargy, Hairfall, Depression. weakness, low immunity, fatique, dizzness, hair fall , skin health , joint pain, bodyache.","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), Fatty Liver, Hepatitis A/B/C, Asthma, COPD, Sinusitis / allergic rhinitis, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO,"Selenium Deficiency,  High Creatinine, Iron Deficiency, Vitamin D deficiency, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Vit B12 deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid   Fiber deficiency, omega 3, Vitamin E deficiency, Potassium deficiency. ","Dinner, Pre Dinner",5,1 taco,Rajma,"HP, HF, WR",189.19,44.12,12.59,35.53,1046.4,209.28,"Low GI, Normal",2,1,23c3dd7b-ac68-47bb-a0a8-40749ea06a12,MAIN,medium bowl,250gm,15.1,3.5,1.0,2.8,83.7,,,,Curd,Primary
Soybean Salad,"Soybean - 1 cup
Onion - 1/2 cup
Cucumber - 1/2 cup
Tomato - 1/2 cup
Carrot - 1/2 cup
Salt - as per taste
Black pepper - 1/2 tsp
Lemon - 1","Soybean - 1'cup
Onion - 0.5'cup
Cucumber - 0.5'cup
Tomato - 0.5'cup
Carrot - 0.5'cup
Lemon - 1
",YES,Easy,Medium,Medium,"VEGAN , VEGETARIAN","Citrus, Onion/Garlic",Both,All Season,Light Salad,Salad,,,HEAVY,Both,General,Neutral,0,2,"Gas stove / Cooktop, Pressure cooker",,Umami,Generic,Neutral Taseer,"Glucourea, Constipation, Reduced appetite, Lack of sleepSleep disorders / insomnia, low in immunity , Acne, palpitation, Proteinurea , lethargy, Hairfall, Depression. ","Type 2 Diabetes, Gestational Diabetes, Prediabetic, Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension), Crohn's Disease, Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE),  Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia,, Hormonal imbalances, Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,YES,"Vitamin A defiiency, Fiber Difeciency, Selenium Deficiency, High Total cholesterol, High Creatinine, Vitamin E deficiency, Magnesium deficiency, Protein Deficiency, Iodine deficiency, , Zinc deficiency,  High LDL/Low HDL, High Triglycerides, Liver enzyme elevated","Dinner, Pre Dinner",2.5,1 medium bowl (150-200 gm),Soybean,HP,74.62,75.32,40.18,52.42,961.44,384.58,"Low GI, Normal",2,1,23ed9f84-a49e-479e-a4ee-ad0dc731045f,MAIN,Katori,200ml,14.9,15.1,8.0,10.5,192.3,,,,,Secondary
Tomato Dhaniya Shorba,"4 tomatoes (chopped)
1/4 cup moong dal
1 onion (chopped)
2 cups water (around 400 ml)
1/4 tsp turmeric powder
1 tsp ginger garlic paste
1/2 tsp cumin seeds (jeera powder)
A pinch of asafoetida (hing)
1 green chili (finely chopped)
1/2 tsp red chili powder
Salt (to taste)
1/2 tsp kitchen king masala
1/4 cup coriander leaves (chopped)
2 tsp natural lemon juice
2 tsp olive oil","Tomato - 4 
Moong Dal - 0.25'cup
Onion - 0.25'cup
Olive Oil - 2'tsp
Coriander Leaf - 0.25'cup",YES,Medium,Medium,Medium,"VEGAN , VEGETARIAN","Onion/Garlic, Citrus",Metro,Winter,Light Soup,Soup/Dal,,,LIGHT,India,General,Neutral,1,2,"Gas stove / Cooktop, Basic fry pan/kadai",,Sour/Tangy,North Indian ,Neutral Taseer,"Glucourea, Loose motions/diarrhoea, Bloating, Constipation, Reduced appetite, Headache, Lack of sleep, Hairfall, Sleep disorders / insomnia, Lupus (SLE)","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), Fatty Liver, Hepatitis A/B/C, Asthma, COPD, Sinusitis / allergic rhinitis, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,YES,"Protein deficiency, Iron deficiency, B-vitamin, lycopene, vitamin C, potassium, vitamin A,High LDL/Low HDL, High Triglycerides, Liver enzyme elevated",Dinner,4,1 medium bowl (200 ml),NO BASE,All themes,52.62,16.81,11.64,9.68,381.76,95.44,"Low FODMAP, Low GI, Normal",1.5,1,2427d1d7-c384-403e-a114-96e83961b973,MAIN,Medium Bowl,200ml,6.6,2.1,1.5,1.2,47.7,,,,"Scrambled tofu, Grilled paneer, Egg & veggie stir fry, Egg White Omelette, Bread toast, Brown bread toast",Primary
Egg Parantha,"Whole Wheat Flour: 1 cup
Water: as needed for dough
Salt: to taste
Egg Whites: 2
Whole Egg: 1
Onion: 1 small
 finely chopped
Green Chili: 1
 finely chopped
Coriander Leaves: 2 tbsp
 finely chopped
Black Pepper: to taste
Oil/Ghee: for cooking (optional)","Whole Wheat Flour - 1'cup
Egg White - 2
Egg - 1
Onion - 0.25'cup
",YES,Medium,Medium,Medium,"OVOVEGETARIAN , EGG ","Gluten, Lactose, Onion/Garlic, Gluten, wheat",Both,All Season,Paratha,,,,Heavy,India,North Indian,Neutral,0,3,"Gas stove / Cooktop, Rolling pin & board (chakla belan), Basic fry pan/kadai",,"Umami, Salty",North Indian ,Hot Taseer,"Weakness , bodyache, Hair And skin , reduced Appetite, frequent infection, recovery after illness, Glucourea, constipation,  joint pain, fatique, Headache, Lack of sleep, Hairfall, Sleep disorders / insomnia, low Skin health , low immunity, stress, mood swings, muscle cramps.","Type 2 Diabetes, Gestational Diabetes, Prediabetic, Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension), Crohn's Disease, Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE),  Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia,, Hormonal imbalances, Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO,"Protein deficiency, riboflavin deficiency, selenium deficiency, High Total cholesterol, Iron Deficiency, Vitamin D deficiency, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, ","Breakfast, Lunch",2,1 paratha,"Egg, Wheat","HP, HF",89.19,30.17,7.92,14.37,548.54,274.27,"Low FODMAP, Low GI, Normal",2,1,244516b5-8933-4939-8fef-bf4751852e2f,MAIN,Numbers,140gm,31.9,10.8,2.8,5.1,195.9,,,,Mint Chutney,Primary
Kuttu Aloo Pakode,"1 cup buckwheat flour (kuttu ka atta)
2 boiled potatoes
 peeled and mashed
1 teaspoon cumin seeds
1 teaspoon carom seeds (ajwain)
1 teaspoon rock salt (sendha namak)
1 teaspoon red chili powder
1/2 teaspoon turmeric powder
1 tablespoon fresh coriander
 chopped
1 green chili
 finely chopped (optional)
Water (as needed for the batter)
Oil spray","Buckwheat Flour - 1'cup
Potato - 2 ",NO,Easy,Medium,Medium,"VEGAN , VEGETARIAN",Gluten,Both,Winter,Cutlet,,,,Heavy,India,North Indian,Neutral,2,3,"Gas stove / Cooktop, Basic fry pan/kadai",,Salty,"North indian, West india , Central india ",Hot Taseer," Loose motions/diarrhoea, , Constipation, Reduced appetite, Headache, Lack of sleep, weakness, triedness , dizzness, headache","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), Fatty Liver, Hepatitis A/B/C, Asthma, COPD, Sinusitis / allergic rhinitis, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.","Pre Dinner, Lunch",4,3 pakdoa,"Buckwheat, Aloo","HF, WR",144.22,22.26,4.06,5.81,701.44,175.36,"Low FODMAP, Normal",3,2,244c377f-6764-440d-ae82-f2786948f7a0,MAIN,Numbers,95gm,38.0,5.9,1.1,1.5,184.6,,,,"Mint Chutney, Coriander Chutney, Curd",Primary
Tomato Raita,"Curd - 1 cup
Tomato - 1
Salt - As per taste
Coriander - 1 tsp
Cumin Powder - 1/4 tsp","Curd - 1'cup
Tomato - 1",YES,Medium,Easy,Medium,"JAIN, VEGETARIAN ",Lactose,Both,All Season,Raita,curd based,,,LIGHT,India,General,Neutral,0,1,No equipment required,,Sour/Tangy,Generic,Neutral Taseer,"Glucourea, Loose motions/diarrhoea, Bloating, Constipation, Reduced appetite, Headache, Lack of sleep, Hairfall, Sleep disorders / insomnia, Lupus (SLE)","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension),  Crohn's Disease, Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis,), Osteoporosis, Migraine, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Semi-solid,YES,"calcicum, gut enzymes recovery, Protein deficiency, Iron deficiency, B-vitamin,ycopene, vitamin C, potassium, vitamin A,High LDL/Low HDL, High Triglycerides, Liver enzyme elevated",Lunch,2,1 Katori (100-120 gm),NO BASE,All themes,16.55,9.86,8.5,2.18,181.96,90.98,"Low FODMAP, Low GI, Normal",1.5,1,2509cc76-083d-4198-ad88-b2e55843c828,MAIN,Katori,150ml,5.5,3.3,2.8,0.7,60.7,"Pulao, Khichdi, Biryani","Chila, Thepla",,,Secondary
Cucumber Mint Slush,"1 Cucumber (peeled and chopped)
1 tbsp Lemon Juice
1/2 cup Water
2 to 3 Ice Cubes
4 Mint Leaves
1 tsp Ginger (grated)","Cucumber - 1 
Lemon Juice - 1'tbsp",YES,MEDIUM,Medium,Low,"JAIN, VEGAN",Citrus,Both,Summer,Juice,Fruit,,,LIGHT,Both,General,Cold,0,2,Basic mixer grinder,,"Sour/Tangy, Sweet",Generic,Cold Taseer," Dehydration, Acidity, Bloating, Constipation, stress, skin health improved, low eye sight, low immunity, Headache, Lack of sleep, palpitation, glucourea, ","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), Fatty Liver, Hepatitis A/B/C, Asthma, COPD, Sinusitis / allergic rhinitis, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,YES,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.","Mid Meal, Pre Dinner",2,1 glass,NO BASE,All themes,5.44,1.26,0.43,4.3,29.48,14.74,"Low FODMAP, Low GI, DASH, Normal",1,1,252d9fec-905a-4976-ad15-8f37cf4c1c2e,MID,Glass,200ml,1.4,0.3,0.1,1.1,7.4,,,,,Secondary
Curd Quinoa,"1 cup quinoa
 rinsed and soaked for 2 hours
1 cup water
1 cup curd
2 tsp olive oil
½ tsp mustard seeds (rai)
5-6 curry leaves
2 red chillies
Finely chopped coriander leaves
1 cup grated carrots
1 cup pomegranate
Salt to taste","Quinoa - 1'cup
Curd - 1'cup
Olive Oil - 2'tsp
Coriander Leaf - 1'cup
Carrot - 1'cup 
Pomegranate - 1'cup",YES,Medium,Easy,Low,VEGETARIAN,"Lactose, Onion/Garlic",Metro,Winter,Heavy Meal,,,,Light,Both,General,Neutral,1,2,"Gas stove / Cooktop, Basic fry pan/kadai",,Creamy,Generic,Cold Taseer,"Glucourea, Bloating, Acidity, Constipation, Reduced appetite, Headache, Lack of sleep, Hairfall, Sleep disorders / insomnia, Lichen planus, Rosacea, Lupus (SLE), Skin itching","Type 2 Diabetes, Gestational Diabetes (portion-controlled), Prediabetic, High Blood Pressure (Hypertension), Fatty Liver, Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoporosis, Migraine, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs), post antibiotic phase.",Semi-solid,NO,"Protein deficiency, fiber deficiency, iron deficiency, magnesium deficiency, folate deficiency, zinc deficiency, High LDL/Low HDL, High Triglycerides, vitamin A, potassium, vitamin E","Breakfast, Lunch",4.5,1.cup,Quinoa,HF,148.9,35.63,30.38,30.5,1010.47,224.55,"Low FODMAP, Low GI, Normal",1.5,1,259ec4d3-b613-47f7-b027-34e925c64862,MAIN,Katori,200gm,16.5,4.0,3.4,3.4,112.3,,,,,Primary
Haldi Ginger Tea,"Turmeric Powder - 2 tsp
Ginger - 1/2 tsp
Lemon Juice - 1 tsp
Water - 1 cup",NA,NO,Medium ,Easy ,Low (5 minutes),"JAIN, VEGAN",Citrus,Both,Winter,Tea,,,,Light,India,General,Warm,1,1,"Gas stove / Cooktop, Electric kettle",,Sour/Tangy,Generic,Hot Taseer,"Chronic cough, nausea, fever, low immunity, delay in periods,  Breathlessness, Glucourea,  Bloating, Acidity, Constipation, Reduced appetite, Headache, Lack of sleep, Hairfall, Facial hair, Sleep disorders / insomnia, Lichen planus, Rosacea, Lupus (SLE), Skin itching","Type 2 Diabetes,  Prediabetic, Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension), Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoarthritis, Rheumatoid Arthritis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Gout (High Uric Acid), Hormonal imbalances, Vitiligo, Cardiovascular Diseases (CVDs)",Liquid,YES," High Total cholesterol, High Creatinine, Vitamin E deficiency, Magnesium deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, Iron deficiency (anemia), Vitamin C deficiency,Calcium deficiency, Selenium Deficiency.","Midmeal, Tea",1,1 cup,NO BASE,All themes,7.5,1.03,0.36,2.27,37.34,37.34,"Low FODMAP, Low GI, DASH, Normal",1,1,25d1fe20-b33d-472b-a1dd-c6a450cbb1d1,MID,Cup,150ml,5.0,0.7,0.2,1.5,24.9,,,,Khakhra,Secondary
1 Garlic Bread With Sauteed Veggies,"4 slices whole wheat bread
1 cup garlic hung curd (prepared as per the previous recipe)
2 tbsp fresh coriander leaves
 chopped
1 tsp oregano
1 tsp chili flakes
1/2 tsp black pepper
Salt
 to taste","Whole Wheat Bread - 4
Hung Curd - 1'cup",YES,Easy,Medium,Medium,VEGETARIAN,"Gluten, Wheat, Lactose, Onion/Garlic, Gluten, wheat, yeast",Metro,All Season,Bread,,,,Heavy,Both,General,Neutral,1,2,"Gas stove / Cooktop, OTG (Oven Toaster Griller)",,Umami,Italian ,Hot Taseer," low immunity, delay in periods,  Breathlessness, Glucourea,  Bloating, Acidity, Constipation, Reduced appetite, Headache, Lack of sleep, Hairfall, Facial hair, Sleep disorders / insomnia, Lichen planus, Rosacea, Lupus (SLE), Skin itching","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), Fatty Liver, Hepatitis A/B/C, Asthma, COPD, Sinusitis / allergic rhinitis, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO,"Selenium Deficiency,  High Creatinine, Iron Deficiency, Vitamin D deficiency, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Vit B12 deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid   Fiber deficiency, omega 3, Vitamin E deficiency, Potassium deficiency. ","Dinner, Pre Dinner",4,1 bread,Wheat,HF,88.04,41.33,14.15,12.6,646.28,161.57,"Low FODMAP, Low GI, Normal",2,1,25eb480c-a398-439c-a936-68db4c15c4b7,MAIN,Numbers,85gm,25.9,12.2,4.2,3.7,190.1,,,,"Scrambled Tofu, Egg & Veggie Stir Fry, Scrambled Eggs, Egg White Bhurji, Egg White Omelette, Egg Bhurji, Paneer Bhurji, Tofu Bhurji, Light soup, Omelette                                           ",Secondary
Aloo Matar Sabzi Dry,"2 cups potatoes (cubed)
2 tsp oil
1 tsp cumin seeds
1 cup onion (chopped)
1 tomato (chopped)
1 tsp ginger garlic paste
1/4 cup coriander leaves (chopped)
1 tsp turmeric powder
1 green chili (chopped)
Salt (to taste)
A pinch of asafoetida (hing)
1 cup peas
2 cups water","Potato - 2'cup
Oil - 2'tsp
Onion - 1'cup
Tomato - 1'cup
Coriander Leaf- 0.25'cup
Peas - 1'cup",YES,Easy,Easy ,Medium (30 minutes),"VEGAN , VEGETARIAN",Onion/Garlic,Both,Winter,Sabzi,Sabzi,,,LIGHT,India,North Indian,Neutral,1,2,"Gas stove / Cooktop, Basic fry pan/kadai",,Salty,Generic,Hot Taseer," Loose motions/diarrhoea, , Constipation, Reduced appetite, Headache, Lack of sleep, weakness, triedness , dizzness, headache, joint  pain ","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), Fatty Liver, Hepatitis A/B/C, Asthma, COPD, Sinusitis / allergic rhinitis, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,YES,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.","Lunch, Dinner",4,1.5 cup cooked,Aloo,WR,75.48,15.59,11.19,18.7,463.99,116.00,"Low FODMAP, Normal",2,1,26375333-6d6f-4a12-abad-80b45a511964,MAIN,Katori,150gm,12.6,2.6,1.9,3.1,77.3,Roti,,,,Primary
Paneer Cutlet,"200 g paneer
 grated
1 small onion
 chopped
2 cloves garlic
 chopped
2 tbsp coriander leaves
 chopped
1 green chili
 chopped
2 tbsp spring onion
 chopped
Salt
 to taste
1 tsp Kitchen King masala
1/4 tsp carom seeds (Ajwain)
2 tsp oats flour (for slurry)
Instant oats (for coating)
Oil spray","Paneer - 200'g
Onion - 1
Oats flour - 2'tsp",YES,Easy,Medium,Medium,VEGETARIAN,"Gluten, Onion/Garlic, Lactose",Both,Winter,Cutlet,,,,Heavy,India,General,Neutral,1,3,"Gas stove / Cooktop, Basic fry pan/kadai",,"Salty, Crunchy","North indian, West india , Central india ",Hot Taseer," Muscle cramb,Glucourea,  Headache, Lack of sleep, Trieadness, Palpitation , Frequent infection , weakness , trieadness, leethargy, joint pain , back pain, delay in periods , calcinosis cutis, Dizzness, Cold Extremities, Headache, Angular Stomatitis, Koilonychia.","Type 2 Diabetes, Gestational Diabetes, Prediabetic, Fatty Liver, Hepatitis A/B/C (mild), Liver cirrhosis (early stage), Osteoarthritis, Rheumatoid Arthritis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs).",Solid,NO,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.","Dinner, Pre Dinner, Lunch",3,2 cutlet,Paneer,HP,24.32,45.12,58.26,4.58,802.1,267.37,"Low FODMAP, Low GI, Normal",3,2,264e4997-e848-4bb9-ab25-21f619eff99a,MAIN,Numbers,50gm,16.2,30.1,38.8,3.1,534.7,,,,"Mint Chutney, Coriander Chutney, Curd",Primary
